prefix,name,dec,description,implemented
RESPONSE_ERROR_,UNKNOWN_COMMAND,255,"The received command byte does not relate to any known command.",true
RESPONSE_ERROR_,NOT_INITIALISED,254,"The Ryder is not initialised with a wallet.",true
RESPONSE_ERROR_,MEMORY_ERROR,253,"The Ryder encountered a memory error while processing the command or input.",true
RESPONSE_ERROR_,APP_DOMAIN_TOO_LONG,252,"The provided app domain is too long to be processed. This error code precedes the memory error code.",true
RESPONSE_ERROR_,APP_DOMAIN_INVALID,251,"The app domain does not start with `http://` or `https://`.",true
RESPONSE_ERROR_,MNEMONIC_TOO_LONG,250,"The provided mnemonic phrase is too long to be processed. This error code precedes the memory error code.",true
RESPONSE_ERROR_,MNEMONIC_INVALID,249,"The mnemonic phrase has an invalid word count or the checksum failed.",true
RESPONSE_ERROR_,GENERATE_MNEMONIC,248,"The Ryder could not generate a mnemonic phrase of the desired strength.",true
RESPONSE_ERROR_,INPUT_TIMEOUT,247,"The client waited too long with sending input. (Unimplemented.)",false
RESPONSE_ERROR_,NOT_IMPLEMENTED,246,"Prototype response code to indicate that the current feature is still being worked on.",true
